model_id,actual_zone,predicted_zone,count,percentage_of_actual_zone
logistic_full_balanced,Zone_07,Zone_01,0,0.0
logistic_full_balanced,Zone_07,Zone_02,0,0.0
logistic_full_balanced,Zone_07,Zone_03,0,0.0
logistic_full_balanced,Zone_07,Zone_04,0,0.0
logistic_full_balanced,Zone_07,Zone_05,0,0.0
logistic_full_balanced,Zone_07,Zone_06,7,0.64
logistic_full_balanced,Zone_07,Zone_07,861,79.21
logistic_full_balanced,Zone_07,Zone_08,219,20.15
logistic_full_balanced,Zone_07,Zone_09,0,0.0
logistic_full_balanced,Zone_07,Zone_10,0,0.0
logistic_full_balanced,Zone_08,Zone_01,0,0.0
logistic_full_balanced,Zone_08,Zone_02,0,0.0
logistic_full_balanced,Zone_08,Zone_03,0,0.0
logistic_full_balanced,Zone_08,Zone_04,0,0.0
logistic_full_balanced,Zone_08,Zone_05,0,0.0
logistic_full_balanced,Zone_08,Zone_06,0,0.0
logistic_full_balanced,Zone_08,Zone_07,69,7.95
logistic_full_balanced,Zone_08,Zone_08,799,92.05
logistic_full_balanced,Zone_08,Zone_09,0,0.0
logistic_full_balanced,Zone_08,Zone_10,0,0.0
logistic_full_balanced,Zone_09,Zone_01,0,0.0
logistic_full_balanced,Zone_09,Zone_02,0,0.0
logistic_full_balanced,Zone_09,Zone_03,0,0.0
logistic_full_balanced,Zone_09,Zone_04,0,0.0
logistic_full_balanced,Zone_09,Zone_05,0,0.0
logistic_full_balanced,Zone_09,Zone_06,0,0.0
logistic_full_balanced,Zone_09,Zone_07,0,0.0
logistic_full_balanced,Zone_09,Zone_08,0,0.0
logistic_full_balanced,Zone_09,Zone_09,46,100.0
logistic_full_balanced,Zone_09,Zone_10,0,0.0
logistic_full_balanced,Zone_10,Zone_01,0,0.0
logistic_full_balanced,Zone_10,Zone_02,0,0.0
logistic_full_balanced,Zone_10,Zone_03,0,0.0
logistic_full_balanced,Zone_10,Zone_04,0,0.0
logistic_full_balanced,Zone_10,Zone_05,0,0.0
logistic_full_balanced,Zone_10,Zone_06,0,0.0
logistic_full_balanced,Zone_10,Zone_07,0,0.0
logistic_full_balanced,Zone_10,Zone_08,0,0.0
logistic_full_balanced,Zone_10,Zone_09,0,0.0
logistic_full_balanced,Zone_10,Zone_10,232,100.0
logistic_blind_none,Zone_01,Zone_01,0,0.0
logistic_blind_none,Zone_01,Zone_02,0,0.0
logistic_blind_none,Zone_01,Zone_03,0,0.0
logistic_blind_none,Zone_01,Zone_04,0,0.0
logistic_blind_none,Zone_01,Zone_05,0,0.0
logistic_blind_none,Zone_01,Zone_06,0,0.0
logistic_blind_none,Zone_01,Zone_07,195,78.63
logistic_blind_none,Zone_01,Zone_08,53,21.37
logistic_blind_none,Zone_01,Zone_09,0,0.0
logistic_blind_none,Zone_01,Zone_10,0,0.0
logistic_blind_none,Zone_02,Zone_01,0,0.0
logistic_blind_none,Zone_02,Zone_02,0,0.0
logistic_blind_none,Zone_02,Zone_03,0,0.0
logistic_blind_none,Zone_02,Zone_04,0,0.0
logistic_blind_none,Zone_02,Zone_05,0,0.0
logistic_blind_none,Zone_02,Zone_06,0,0.0
